model_name,roc_auc,pr_auc,accuracy,precision,recall,inference_time_sec,avg_latency_ms_per_row,throughput_rows_per_sec,model_size_kb
logistic_v1,0.9573,0.705197,0.999196,0.881159,0.617886,0.027628,9.7e-05,10308673.56,1.66
xgboost_v1,0.988959,0.961348,0.987722,0.121059,0.97561,0.111108,0.00039,2563346.31,180.67
